Name,Price,Image URL,Product URL
Protein Pudding (1000g),"40,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-protein-pudding-bucket-1kg.jpg",https://www.bodylab24.de/protein-pudding-1000g.html
Protein Coffee (1000g),"38,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-protein-coffee-1kg_1.png",https://www.bodylab24.de/protein-coffee-1000g.html
Lactase Tabs (120 Tabletten),"7,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-lactase-120tabs-alu-cap-tablets.jpg",https://www.bodylab24.de/lactase-tabs-120-tabletten.html
Ginseng (120 Kapseln),"8,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-ginseng-120caps-iml05.jpg",https://www.bodylab24.de/ginseng-120-kapseln.html
Protein Pudding - 1000g - Banana,"26,90€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/0/1080x1080_bl_proteinpudding_appetiteappeal_ohnetext_5.jpg",https://www.bodylab24.de/protein-pudding-1000g-banana.html
Biotin Complex (120 Tabletten),"10,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-biotin-complex-120caps-iml05_1.jpg",https://www.bodylab24.de/biotin-complex-120-kapseln.html
Coenzyme Q10 - Vegan Kapseln (120 Kapseln),"14,49€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/c/o/coenzym_q10_caps_front.jpg",https://www.bodylab24.de/coenzyme-q10-vegan-capsules-120-capsules.html
NAC Complex (Glycin + N-Acetyl L-Cystein) (120 Kapseln),"7,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-nac-complex-0.5iml-120caps.jpg",https://www.bodylab24.de/nac-complex-glycin-n-acetyl-l-cystein-120-kapseln.html
L-Tryptophan (120 Kapseln),"6,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-l-tryptophan-120caps-iml05.jpg",https://www.bodylab24.de/l-tryptophan-120-kapseln-32205.html
Maca Caps (120 Kapseln),"6,99€","https://cdn11.vitafy.de/vitafy/image/upload/t_dt,w_1920//media/catalog/product/1/-/1-bodylab-iml-maca-caps120c.jpg",https://www.bodylab24.de/maca-caps-120-kapseln.html
